MFA2 50мм _ 1				MFA2 50мм _ 2				MFA2 50мм _ 3				MFA2 50мм _ 4				MFA2 50мм _ 5				MFA2 50мм _ 6			
Время	Сила	Ход	Экст.2	Время	Сила	Ход	Экст.2	Время	Сила	Ход	Экст.2	Время	Сила	Ход	Экст.2	Время	Сила	Ход	Экст.2	Время	Сила	Ход	Экст.2
сек	Н	мкм	мкм	сек	Н	мкм	мкм	сек	Н	мкм	мкм	сек	Н	мкм	мкм	сек	Н	мкм	мкм	сек	Н	мкм	мкм
0	194,1967	0	0	0	28,83673	0,03333334	0	0	44,27592	0	0	0	1,176993	0,03333334	0	0	37,68206	0,03333334	0	0	-4,719893	0	0
0,02	194,1959	0,5	0	0,02	28,85024	0,7	0	0,02	44,23141	0,4666667	0	0,02	1,194477	0,5333334	0	0,02	37,72656	0,5	0	0,02	-4,725456	0,4666667	0
0,04	194,2317	2,2	0	0,04	28,90587	2,566667	0	0,04	44,22903	2,333333	0	0,04	1,227856	2,4	0	0,04	37,77106	2,366667	0	0,04	-4,703999	2,333333	0
0,06	194,7625	4,333333	0	0,06	29,06322	4,433333	0	0,06	44,8823	4,466667	0	0,06	1,908938	4,566667	0	0,06	38,41798	4,466667	0	0,06	-4,061063	4,5	0
0,08	197,3335	6,2	0	0,08	29,17846	5,9	0	0,08	47,69643	6,3	0	0,08	4,713535	6,4	0	0,08	41,23449	6,333333	0	0,08	-1,271566	6,3	0
0,1	201,8611	7,900001	0	0,1	29,55278	7,433333	0	0,1	52,11353	8,033334	0	0,1	9,117921	8,1	0	0,1	45,64921	8	0	0,1	3,095468	8,033334	0
0,12	206,4816	9,6	0	0,12	31,24714	9,233334	0	0,12	56,12612	9,700001	0	0,12	13,47383	9,766667	0	0,12	49,77942	9,633333	0	0,12	7,21852	9,833333	0
0,14	210,7151	11,3	0	0,14	34,11055	11,1	0	0,14	59,47034	11,33333	0	0,14	17,37038	11,5	0	0,14	53,13396	11,33333	0	0,14	10,98871	11,56667	0
0,16	214,7977	12,96667	0	0,16	37,58033	12,9	0	0,16	62,32262	13,06667	0	0,16	21,0015	13,16667	0	0,16	56,17936	13,03333	0	0,16	14,50777	13,16667	0
0,18	218,8579	14,66667	0	0,18	41,2639	14,56667	0	0,18	64,52402	14,76667	0	0,18	24,604	14,8	0	0,18	59,10476	14,7	0	0,18	17,66364	14,86667	0
0,2	222,9603	16,33333	0	0,2	44,686	16,23333	0	0,2	66,15639	16,46667	0	0,2	28,14134	16,5	0	0,2	61,80604	16,36667	0	0,2	20,7456	16,5	0
0,22	227,1215	18,03333	1	0,22	47,70994	17,96667	0	0,22	67,36358	18,13333	0	0,22	31,56424	18,13333	0	0,22	63,85644	18,1	0	0,22	23,97776	18,16667	0
0,24	231,1929	19,66667	1	0,24	50,60673	19,66667	0	0,24	68,72654	19,8	0	0,24	34,80514	19,76667	0	0,24	65,25914	19,76667	0	0,24	27,10422	19,8	0
